id_no,gender,age,edn,h,e,x,a,c,o,dev_i,dev_o,ocb_i,ocb_o
101,2,37,6,4.19,3.56,3.13,2.50,3.88,2.19,2.71,1.58,5.00,5.13
102,2,52,5,3.25,2.69,3.31,3.38,3.38,2.94,2.71,3.00,4.38,5.13
103,1,49,2,3.94,4.00,3.44,3.69,3.31,2.75,2.71,1.58,5.00,4.63
104,1,52,5,3.31,3.38,3.31,3.44,3.88,2.63,2.86,2.00,4.00,4.00
105,1,21,4,3.13,3.75,3.56,2.31,3.75,2.94,2.86,2.67,4.25,3.88
106,1,21,1,2.88,3.81,2.75,3.00,3.94,2.19,2.86,1.75,3.38,3.00
107,2,20,2,3.00,3.88,3.31,1.94,2.00,3.81,2.86,0.75,4.88,4.13
108,2,26,4,2.75,3.88,3.81,1.81,2.50,3.44,3.00,2.50,3.75,3.25
109,2,18,2,3.31,4.00,3.38,3.25,1.88,3.88,3.00,2.83,4.00,2.50
110,2,22,1,2.63,1.75,3.31,4.00,2.69,3.31,3.14,3.92,3.50,1.25
111,1,23,2,3.88,4.38,2.63,2.81,3.63,2.50,3.14,2.25,5.25,4.13
112,1,20,3,4.00,3.69,4.13,3.63,2.56,4.06,3.29,3.00,6.13,3.75
113,2,43,2,2.88,3.13,3.38,2.63,3.94,3.13,3.29,2.50,4.63,4.25
114,1,28,1,2.88,2.31,3.50,2.06,3.06,3.56,3.43,4.67,2.13,3.75
115,1,18,2,2.19,3.38,3.13,1.88,2.56,3.31,3.71,3.17,2.88,2.88
116,1,25,4,3.13,2.63,2.81,2.13,3.31,3.25,3.71,3.00,3.88,2.38
117,1,21,2,3.81,3.44,3.56,2.25,3.50,4.00,3.71,2.17,4.00,3.38
118,1,19,1,3.25,3.75,3.75,2.19,3.63,3.31,3.71,2.25,5.13,4.13
119,1,20,2,2.25,2.81,4.50,2.88,3.63,4.06,3.86,2.17,6.50,6.25
120,2,22,3,3.13,3.56,3.19,3.38,3.31,2.94,4.29,3.25,4.75,4.75
121,2,54,2,2.94,2.81,2.88,2.44,3.88,3.63,4.57,1.75,4.00,3.63
122,2,21,5,1.50,2.88,4.13,1.81,2.19,2.88,5.29,3.25,2.13,1.13
123,2,19,2,3.69,3.00,3.88,2.88,2.94,3.50,5.43,3.33,6.00,5.13
124,2,19,1,2.69,3.06,3.69,1.81,3.63,3.50,5.43,3.17,4.63,6.13
